image_name,x,y,frame_number,sequence_id,number_of_points,PixelXDimension,PixelYDimension,name,pair_id,height,distance
4m_3.JPG,244.8353354,751.9596547,0,0,1,3712,2088,4m_left_top,4m_left,0.5,4
4m_3.JPG,254.7132855,1241.453961,0,1,1,3712,2088,4m_left_middle,4m_left,0.1,4
4m_3.JPG,1791.736775,736.1481774,0,2,1,3712,2088,4m_centre_top,4m_centre,0.5,4
4m_3.JPG,1789.2537,1189.309384,0,3,1,3712,2088,4m_centre_middle,4m_centre,0.1,4
4m_3.JPG,3507.541672,674.0712998,0,4,1,3712,2088,4m_right_top,4m_right,0.5,4
4m_3.JPG,3521.198586,1155.78787,0,5,1,3712,2088,4m_right_middle,4m_right,0.1,4
2m_3.JPG,240.7879421,570.5856144,1,6,1,3712,2088,2m_left_top,2m_left,0.5,2
2m_3.JPG,204.734742,1513.661426,1,7,1,3712,2088,2m_left_middle,2m_left,0.1,2
2m_3.JPG,1802.460765,650.2821619,1,8,1,3712,2088,2m_centre_top,2m_centre,0.5,2
2m_3.JPG,1802.460765,1544.022016,1,9,1,3712,2088,2m_centre_middle,2m_centre,0.1,2
2m_3.JPG,3483.678409,570.5856144,1,10,1,3712,2088,2m_right_top,2m_right,0.5,2
2m_3.JPG,3546.297125,1549.714626,1,11,1,3712,2088,2m_right_middle,2m_right,0.1,2
1m_3.JPG,172.0126101,2.552753833,2,12,1,3712,2088,1m_left_top,1m_left,0.5,1
1m_3.JPG,168.4667689,1945.673694,2,13,1,3712,2088,1m_left_middle,1m_left,0.1,1
1m_3.JPG,1905.928923,204.6656983,2,14,1,3712,2088,1m_centre_top,1m_centre,0.5,1
1m_3.JPG,1881.108035,1949.219535,2,15,1,3712,2088,1m_centre_middle,1m_centre,0.1,1
1m_3.JPG,3263.986076,91.19878211,2,16,1,3712,2088,1m_right_top,1m_right,0.5,1
1m_3.JPG,3334.124069,2112.3118,2,17,1,3712,2088,1m_right_middle,1m_right,0.1,1
