LOCATION ID,CAM. ID,PlacementDATE,deployment_time,deployment_date,First off,Second deployment,Second off,Third deployment,Removal date,Trapnights,Date correct (Y/N),Notes
AK 1,710208207205,12/02/2024,2:38 pm,12/02/2024,,,,,13/04/2024,61,not sure,
AK 2,110003502205,10/02/2024,4:20 pm,10/02/2024,15/02/2024,03-04-2024,,,13/04/2024,45,yes,
AK 3,710207407205,12/02/2024,2:10 pm,12/02/2024,,,,,13/04/2024,61,yes,
AK 4,710311107205,10/02/2024,3:56 pm,10/02/2024,28/02/2024,07/03/2024,,,13/04/2024,55,yes,
AK 5,2110212405215,12/02/2024,1:46 pm,12/02/2024,15/02/2024,05/03/2024,,,23/03/2024,21,yes,
AK 6,2110373305215,10/02/2024,3:37 pm,10/02/2024,,,,,14/03/2024,33,yes,
AK 8,710226607205,10/02/2024,4:49 pm,10/02/2024,,,,,13/04/2024,63,change only am to pm,
AK 9,710375307205,10/02/2024,3:00 pm,10/02/2024,03/03/2024,04/03/2024,,,15/03/2024,33,yes,
AK 10,110048002205,10/02/2024,4:24 pm,10/02/2024,,,,,10/04/2024,60,yes,
AK 12,710313907205,12/02/2024,11:56 am,12/02/2024,,,,,13/04/2024,61,yes,
AK 14,071037507205,10/02/2024,2:26 pm,10/02/2024,18/02/2024,17/03/2024,,,02/04/2024,24,yes,I have some data from this placement that has not been tagged
AK 15,710310607205,12/02/2024,3:24 pm,12/02/2024,15/02/2024,03-05-2024,,,13/04/2024,36,yes,
AK 17,710375607205,12/02/2024,10:43 am,12/02/2024,,,,,14/04/2024,62,yes,
AK 18,2110369705215,09/02/2024,6:06 pm,09/02/2024,,,,,13/04/2024,64,yes,Date switches midway; cows not given contacts
AK 19,110003602205,10/02/2024,11:38 am,10/02/2024,18/02/2024,17/03/2024,,,29/03/2024,20,yes,I have some data from this placement that has not been tagged
AK 20,710313807205,10/02/2024,1:00 pm,10/02/2024,17/02/2024,03-05-2024,,,26/03/2024,28,yes,
AK 21,710311007205,12/02/2024,11:10 am,12/02/2024,,,,,07/04/2024,55,yes,
AK 22,710310707205,09/02/2024,5:30 pm,09/02/2024,25/02/2024,07/03/2024,,,08/04/2024,48,yes,
AK 23,710209307205,09/02/2024,4:29 pm,09/02/2024,01/03/2024,06/03/2024,,,13/04/2024,59,yes,Cows not given contacts and many contacts are messed up
AK 25,710314007205,10/02/2024,11:46 am,10/02/2024,,,,,14/04/2024,64,yes,
AK 26,710208607205,10/02/2024,10:35 am,10/02/2024,,,,,05/04/2024,55,yes,"Some records are not tagged, location tag is missing from many records"
AK 28,710228807205,09/02/2024,5:00 pm,10/02/2024,24/02/2024,06/03/2024,,,13/04/2024,52,yes,Cow records are missing c- tags
AK 29,110003702205,10/02/2024,9:49 am,27/02/2024,,,,,07/04/2024,40,yes,"Location tag isn't there for many records, cows not given contacts"
AK 30,110004002205,10/02/2024,9:19 am,10/02/2024,21/02/2024,02/03/2024,,,07/03/2024,16,date incorrect,
AK 31,110047602205,10/02/2024,8:50 am,10/02/2024,27/02/2024,06/03/2024,08/03/2024,03/04/2024,13/04/2024,29,yes,
,,,,,,,,,,1145,,
