"","station","Indian_hare","Indian_jackal","Sambar","Hog_deer","Jungle_cat","Asiatic_wild_dog"
"1","AK1",1,1,0,0,0,0
"2","AK10",0,1,0,6,0,0
"3","AK12",1,0,0,4,0,0
"4","AK14",28,3,0,0,0,0
"5","AK15",15,2,0,0,0,0
"6","AK17",0,0,4,7,0,0
"7","AK18",12,0,0,3,0,0
"8","AK19",3,0,0,0,0,0
"9","AK2",7,7,1,0,0,0
"10","AK20",0,1,0,0,0,0
"11","AK21",27,1,1,25,1,6
"12","AK22",9,0,0,17,1,0
"13","AK23",15,0,0,11,0,0
"14","AK25",0,0,7,6,0,1
"15","AK26",14,3,2,5,0,0
"16","AK28",1,1,0,1,5,0
"17","AK29",1,1,0,1,0,0
"18","AK3",0,0,0,0,0,0
"19","AK30",0,2,0,10,0,0
"20","AK31",0,0,2,8,0,0
"21","AK4",0,0,1,2,0,0
"22","AK5",1,0,0,0,0,1
"23","AK6",0,0,0,0,0,0
"24","AK8",0,2,0,0,0,0
"25","AK9",0,0,0,0,1,0
